Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s
3,2,0,4000000.0,666666.666666667
27,1,1,0.0,74074.0740740741
235,2,2,2868085.10638298,17021.2765957447
5804168,3,1,2.0674797835,0.6891599278
33581411,2,2,7.2063678325,0.1191135179
483,1,1,281573.498964803,4140.7867494824
123,2,1,0.0,24390.243902439
3033956,3,3,49.4404005859,1.9776160234
45,1,1,266666.666666667,44444.4444444444
3850203,1,1,11.1682422979,0.5194531301
137,2,0,87591.2408759124,14598.5401459854
185,2,2,2032432.43243243,21621.6216216216
90121728,3,3,0.1997298587,0.0665766196
2020,3,0,24257.4257425743,1485.1485148515
1095497,1,1,297.5818281565,1.8256553875
4562428,3,4,591.3517977708,1.5342707874
17248,2,0,695.73283859,115.9554730983
948081,14,10,11046.5245058175,25.3142927661
248136,10,5,4936.8088467615,60.4507205726
946,1,1,138477.801268499,2114.1649048626
5357,2,0,0.0,373.3432891544
53,1,1,0.0,37735.8490566038
116714145,26,24,118.3489798944,0.4283970893
65281,12,7,66190.7752638593,291.0494630903
6009165,12,17,2844.1555523937,4.8259616769
108050,1,1,1906.5247570569,18.5099490976
129806,6,9,36793.3685653976,115.5570620773
14590,2,2,17135.0239890336,274.1603838245
10428225,7,4,329.6821846479,1.0548295611
359738,10,5,5868.1596050459,41.697012826
59764,1,1,2141.7575798139,33.4649621846
126,1,1,0.0,15873.0158730159
70970,1,1,2254.4737212907,28.1809215161
70741,2,2,2770.6704739826,56.5442953874
283971,15,10,29555.8349268059,88.037158724
67,2,2,4268656.71641791,59701.4925373134
161,2,2,1627329.19254658,24844.7204968944
4,2,0,7750000.0,500000.0
102355,2,1,117.2390210542,29.3097552635
53,1,1,0.0,37735.8490566038
137119,1,1,1320.0212953712,14.5858706671
1225017,6,8,1222.8401728303,11.4284128302
28,1,1,428571.428571429,71428.5714285714
208,2,2,2134615.38461538,19230.7692307692
118097319,16,17,53.4728481008,0.2794305601
39961536,2,2,7.8075076994,0.1000962526
175328,3,4,5367.0834093813,39.9251688264
61119,2,2,4712.1189810043,65.4460969584
193,2,1,0.0,15544.0414507772
17,1,1,705882.352941177,117647.058823529
48,2,0,250000.0,41666.6666666667
5599,2,0,2143.2398642615,357.2066440436
206,3,1,87378.640776699,19417.4757281553
70,1,1,0.0,28571.4285714286
6471992,10,8,824.7847030713,2.7812148099
30758,2,2,5331.9461603485,130.0474673256
103077,2,1,116.4178235688,29.1044558922
2393974,5,5,198.4148532941,4.1771548062
53238,1,1,0.0,37.5671512829
9562,1,1,0.0,209.161263334
126,2,1,142857.142857143,23809.5238095238
116696021,15,13,86.0783419514,0.2399396291
769653,5,0,37.6793178224,6.4964341073
4,2,0,3000000.0,500000.0
76646222,17,14,59.9116287819,0.4044556821
109237,1,1,2050.587255234,18.3088147789
5419152,3,1,2.5834300274,0.738122865
356777,5,1,84.0861378396,16.8172275679
52652,1,1,0.0,37.9852617185
71313,1,1,2425.9251468877,28.0453774207
50827,4,1,590.2374722097,98.3729120349
349950,15,11,23983.4262037434,74.2963280469
170,2,2,1905882.35294118,23529.4117647059
48,2,0,2583333.33333333,41666.6666666667
11187,3,0,2592.2946276929,268.1684097613
91235446,218,260,5534.8553894284,5.2391917939
60325605,9,7,111.5115215173,0.2652273442
5618216,8,6,894.412033998,2.4918942241
30676,1,1,3520.6676228974,65.1975485722
5312085,7,5,93.1837498835,2.2589999972
803835,10,12,17828.2856556383,27.3688008111
103,1,1,0.0,19417.4757281553
61536,1,1,3705.1482059282,32.501300052
60477,2,2,6944.7889280222,66.1408469335
69817,1,1,2105.5043900483,28.6463182319
23305,1,1,4548.3801759279,85.8184938854
8420369,2,0,1.4251156927,0.2375192821
61388,2,2,3583.7622988206,65.159314524
38261,2,2,9618.1490290374,104.5450981417
158,2,2,1924050.63291139,25316.4556962025
107114093,3,3,4.3598371318,0.0560150381
46,2,0,586956.52173913,43478.2608695652
60583,1,1,3235.2310053976,33.0125612796
16197,3,1,3457.4303883435,246.9593134531
60723,2,2,5500.3870032772,65.8728982428
74824,5,3,6709.0773014006,106.9175665562
48625,2,2,2961.439588689,82.2622107969
175843,1,1,824.5992163464,11.3737822944
31248,4,4,19969.2780337942,256.0163850486
37,1,1,0.0,54054.0540540541
83,1,1,144578.313253012,24096.3855421687
63,1,1,190476.19047619,31746.0317460317
334,2,2,1592814.37125749,11976.0479041916
30803,2,2,7531.7339220206,129.8574814141
116723476,20,15,33.1895530596,0.29985399
378,2,0,0.0,5291.0052910053
70,1,1,0.0,28571.4285714286
146,2,2,1698630.1369863,27397.2602739726
2999301,3,0,50.0116527151,1.0002330543
87689,1,1,2782.5610966028,22.807877841
484156,6,7,2342.2202761094,26.8508497261
4,2,0,3000000.0,500000.0
209822,11,7,12505.8382819723,85.7870004099
6014567,3,1,1.9951560935,0.6650520312
63,1,1,190476.19047619,31746.0317460317
23565,2,2,8317.4199023976,169.7432633142
1058920,6,5,920.7494428285,10.3879424319
21263104,20,23,1495.8305240853,2.0222823535
55,1,1,0.0,36363.6363636364
23488,1,1,16433.9237057221,85.1498637602
125849,4,5,21422.4983909288,71.5142750439
258,2,2,1899224.80620155,15503.8759689923
60419,1,1,2631.6225028551,33.1021698472
156,2,2,1307692.30769231,25641.0256410256
5057000,8,7,1112.9127941467,2.9661854855
980994,7,6,2703.3804488101,13.2518649451
52924,2,1,0.0,56.6850578188
2057469,3,1,413.6149803472,1.9441362178
100121,1,1,1358.3563887696,19.9758292466
5461542,3,1,2.1971816751,0.7323938917
7777,2,0,0.0,257.1685740003
104549,2,2,3864.2167787353,38.2595720667
8006865,2,0,9.2420691494,0.2497856527
5044995,10,7,997.8206123098,3.3696762831
14705,15,6,1353077.18463108,1428.0856851411
82220,47,47,813549.014838239,1143.2741425444
44,1,1,0.0,45454.5454545455
140301,1,1,1233.0631998347,14.255065894
1233726,1,1,95.6452243043,1.6211054967
111030241,225,307,5570.2481993172,4.7914873931
23219,1,1,5082.0448770404,86.1363538481
